2024-07-16 00:11:06 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 407]
2024-07-16 00:11:09 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 407]
2024-07-16 00:11:11 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80%EC%9E%94&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 407]
2024-07-16 00:11:13 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80%EC%9E%94&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 407]
2024-07-16 00:11:15 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80%E3%85%88%E3%85%88&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:11:17 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 407]
2024-07-16 00:11:35 200 [GET /api/v1/summoners/autocomplete?q=%E3%84%B4&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 20:44:24 200 [GET /api/v1/rank?platform=kr&type=SOLO&page=1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/rank?pageNo=1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 2472]
2024-07-16 20:44:27 200 [GET /api/v1/summoners/KR/Minit-0415 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Minit-0415] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 415]
2024-07-16 20:44:27 200 [GET /api/v1/rank/champions?puuid=BxduIDK-ZYPA-mSDgnH2bD87ITAOB_vcwdW1bQzCQA6WFomzCHlqVksK9uhTjKlOFagiYmH8-0jSlQ&season=23&platform=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Minit-0415] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 20:44:27 200 [GET /api/v1/leagues/by-summoner/OOczsIMTmCAz1S0j6aqKTyNzF_IbtC8Sjk1zKsyhET5mLMg HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Minit-0415] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-16 20:44:28 200 [GET /api/v1/matches?puuid=BxduIDK-ZYPA-mSDgnH2bD87ITAOB_vcwdW1bQzCQA6WFomzCHlqVksK9uhTjKlOFagiYmH8-0jSlQ&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Minit-0415] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 306047]
